[SOL] autonomic:autonomic at 17:20:13
[SOL] autonomic:Light: 70 at 13:25:12
[SOL] autonomic:Light: 70 at 13:25:18
[SOL] autonomic:Light: 71 at 13:25:25
[SOL] autonomic:Light: 69 at 13:25:31
[SOL] autonomic:Light: 70 at 13:25:37
[SOL] autonomic:Light: 69 at 13:25:44
[SOL] autonomic:Light: 70 at 13:25:50
[SOL] autonomic:Light: 68 at 13:25:56
[SOL] autonomic:Light: 69 at 13:26:3
[SOL] autonomic:Light: 69 at 13:26:9
[SOL] autonomic:Light: 70 at 13:26:15
[SOL] autonomic:Light: 69 at 13:26:22
[SOL] autonomic:Light: 68 at 13:26:28
[SOL] autonomic:Light: 70 at 13:26:34
[SOL] autonomic:Light: 68 at 13:26:41
[SOL] autonomic:Light: 70 at 13:26:47
[SOL] autonomic:Light: 70 at 13:26:54
[SOL] autonomic:Light: 70 at 13:27:0
[SOL] autonomic:Light: 70 at 13:27:6
[SOL] autonomic:Light: 69 at 13:27:13
[SOL] autonomic:Light: 73 at 13:27:19
[SOL] autonomic:Light: 71 at 13:27:25
[SOL] autonomic:Light: 72 at 13:27:32
[SOL] autonomic:Light: 72 at 13:27:38
[SOL] autonomic:Light: 71 at 13:27:44
[SOL] autonomic:Light: 72 at 13:27:51
[SOL] autonomic:Light: 73 at 13:27:57
[SOL] autonomic:Light: 71 at 13:28:3
[SOL] autonomic:Light: 73 at 13:28:10
[SOL] autonomic:Light: 73 at 13:28:16
[SOL] autonomic:Light: 73 at 13:28:23
[SOL] autonomic:Light: 72 at 13:28:29
[SOL] autonomic:Light: 73 at 13:28:35
[SOL] autonomic:Light: 72 at 13:28:42
[SOL] autonomic:Light: 73 at 13:28:48
[SOL] autonomic:Light: 72 at 13:28:54
[SOL] autonomic:Light: 72 at 13:29:1
[SOL] autonomic:Light: 72 at 13:29:7
[SOL] autonomic:Light: 72 at 13:29:13
[SOL] autonomic:Light: 72 at 13:29:20
[SOL] autonomic:Light: 73 at 13:29:26
[SOL] autonomic:Light: 73 at 13:29:33
[SOL] autonomic:Light: 73 at 13:29:39
[SOL] autonomic:Light: 72 at 13:29:45
[SOL] autonomic:Light: 71 at 13:29:52
[SOL] autonomic:Light: 57 at 13:29:58
[SOL] autonomic:Light: 58 at 13:30:4
[SOL] autonomic:Light: 57 at 13:30:11
[SOL] autonomic:Light: 55 at 13:30:17
[SOL] autonomic:Light: 57 at 13:30:23
[SOL] autonomic:Light: 57 at 13:30:30
[SOL] autonomic:Light: 54 at 13:30:36
[SOL] autonomic:Light: 58 at 13:30:42
[SOL] autonomic:Light: 53 at 13:30:49
[SOL] autonomic:Light: 59 at 13:30:55
[SOL] autonomic:Light: 56 at 13:31:2
[SOL] autonomic:Light: 56 at 13:31:8
[SOL] autonomic:Light: 52 at 13:31:14
[SOL] autonomic:Light: 53 at 13:31:21
[SOL] autonomic:Light: 52 at 13:31:27
[SOL] autonomic:Light: 57 at 13:31:33
[SOL] autonomic:Light: 50 at 13:31:40
[SOL] autonomic:Light: 59 at 13:31:46
[SOL] autonomic:Light: 57 at 13:31:52
[SOL] autonomic:Light: 56 at 13:31:59
[SOL] autonomic:Light: 56 at 13:32:5
[SOL] autonomic:Light: 54 at 13:32:11
[SOL] autonomic:Light: 56 at 13:32:18
[SOL] autonomic:Light: 55 at 13:32:24
[SOL] autonomic:Light: 53 at 13:32:31
[SOL] autonomic:Light: 55 at 13:32:37
[SOL] autonomic:Light: 55 at 13:32:43
[SOL] autonomic:Light: 54 at 13:32:50
[SOL] autonomic:Light: 56 at 13:32:56
[SOL] autonomic:Light: 55 at 13:33:2
[SOL] autonomic:Light: 51 at 13:33:9
[SOL] autonomic:Light: 49 at 13:33:15
[SOL] autonomic:Light: 50 at 13:33:21
[SOL] autonomic:Light: 51 at 13:33:28
[SOL] autonomic:Light: 56 at 13:33:34
[SOL] autonomic:Light: 53 at 13:33:41
[SOL] autonomic:Light: 50 at 13:33:47
[SOL] autonomic:Light: 53 at 13:33:53
[SOL] autonomic:Light: 49 at 13:34:0
[SOL] autonomic:Light: 50 at 13:34:6
[SOL] autonomic:Light: 48 at 13:34:12
[SOL] autonomic:Light: 13 at 13:34:19
[SOL] autonomic:autonomic at 13:35:1
[SOL] autonomic:Light: 65 at 13:35:3
[SOL] autonomic:Light: 64 at 13:35:9
[SOL] autonomic:Light: 66 at 13:35:15
[SOL] autonomic:Light: 67 at 13:35:22
[SOL] autonomic:Empieza el proceso: 1329827726668 at 13:35:27
[SOL] autonomic:Light: 68 at 13:35:29
[SOL] autonomic:Light: 68 at 13:35:35
[SOL] autonomic:Light: 67 at 13:35:43
[SOL] autonomic:Light: 69 at 13:35:52
[SOL] autonomic:Light: 68 at 13:36:2
[SOL] autonomic:Light: 67 at 13:36:13
[SOL] autonomic:Light: 67 at 13:36:25
[SOL] autonomic:Light: 67 at 13:36:36
[SOL] autonomic:Light: 64 at 13:36:47
[SOL] autonomic:Light: 67 at 13:36:59
[SOL] autonomic:Light: 67 at 13:37:10
[SOL] autonomic:Light: 71 at 13:37:22
[SOL] autonomic:Light: 71 at 13:37:33
[SOL] autonomic:Light: 72 at 13:37:44
[SOL] autonomic:Light: 72 at 13:37:56
[SOL] autonomic:Light: 71 at 13:38:7
[SOL] autonomic:Light: 72 at 13:38:18
[SOL] autonomic:Light: 72 at 13:38:30
[SOL] autonomic:Light: 73 at 13:38:41
[SOL] autonomic:Light: 73 at 13:38:52
[SOL] autonomic:Light: 73 at 13:39:4
[SOL] autonomic:Light: 73 at 13:39:15
[SOL] autonomic:Light: 73 at 13:39:26
[SOL] autonomic:Light: 73 at 13:39:38
[SOL] autonomic:Light: 72 at 13:39:49
[SOL] autonomic:Light: 71 at 13:40:1
[SOL] autonomic:Light: 71 at 13:40:12
[SOL] autonomic:Light: 71 at 13:40:23
[SOL] autonomic:Light: 70 at 13:40:35
[SOL] autonomic:Light: 70 at 13:40:46
[SOL] autonomic:Light: 71 at 13:40:57
[SOL] autonomic:Light: 71 at 13:41:9
[SOL] autonomic:Light: 72 at 13:41:20
[SOL] autonomic:Light: 72 at 13:41:31
[SOL] autonomic:Light: 71 at 13:41:43
[SOL] autonomic:Light: 71 at 13:41:54
[SOL] autonomic:Light: 71 at 13:42:5
[SOL] autonomic:Light: 70 at 13:42:17
[SOL] autonomic:Light: 70 at 13:42:28
[SOL] autonomic:Light: 70 at 13:42:40
[SOL] autonomic:Light: 70 at 13:42:51
[SOL] autonomic:Light: 70 at 13:43:2
[SOL] autonomic:Light: 70 at 13:43:14
[SOL] autonomic:Light: 71 at 13:43:25
[SOL] autonomic:Light: 69 at 13:43:36
[SOL] autonomic:Light: 69 at 13:43:48
[SOL] autonomic:Light: 68 at 13:43:59
[SOL] autonomic:Light: 70 at 13:44:10
[SOL] autonomic:Light: 66 at 13:44:22
[SOL] autonomic:Light: 67 at 13:44:33
[SOL] autonomic:Light: 68 at 13:44:44
[SOL] autonomic:Light: 69 at 13:44:56
[SOL] autonomic:Light: 69 at 13:45:7
[SOL] autonomic:Light: 69 at 13:45:19
[SOL] autonomic:Light: 69 at 13:45:30
[SOL] autonomic:Light: 67 at 13:45:41
[SOL] autonomic:Light: 70 at 13:45:53
[SOL] autonomic:Light: 69 at 13:46:4
[SOL] autonomic:Light: 67 at 13:46:15
[SOL] autonomic:Light: 66 at 13:46:27
[SOL] autonomic:Light: 67 at 13:46:38
[SOL] autonomic:Light: 66 at 13:46:49
[SOL] autonomic:Light: 65 at 13:47:1
[SOL] autonomic:Light: 66 at 13:47:12
[SOL] autonomic:Light: 68 at 13:47:23
[SOL] autonomic:Light: 70 at 13:47:35
[SOL] autonomic:Light: 69 at 13:47:46
[SOL] autonomic:Light: 71 at 13:47:58
[SOL] autonomic:Light: 71 at 13:48:9
[SOL] autonomic:Light: 69 at 13:48:20
[SOL] autonomic:Light: 66 at 13:48:32
[SOL] autonomic:Light: 67 at 13:48:43
[SOL] autonomic:Light: 68 at 13:48:54
[SOL] autonomic:Light: 68 at 13:49:6
[SOL] autonomic:Light: 67 at 13:49:17
[SOL] autonomic:Light: 67 at 13:49:28
[SOL] autonomic:Light: 65 at 13:49:40
[SOL] autonomic:Light: 64 at 13:49:51
[SOL] autonomic:Light: 64 at 13:50:2
[SOL] autonomic:Light: 65 at 13:50:14
[SOL] autonomic:Light: 66 at 13:50:25
[SOL] autonomic:Light: 66 at 13:50:37
[SOL] autonomic:Light: 66 at 13:50:48
[SOL] autonomic:Light: 67 at 13:50:59
[SOL] autonomic:Light: 68 at 13:51:11
[SOL] autonomic:Light: 67 at 13:51:22
[SOL] autonomic:Light: 68 at 13:51:33
[SOL] autonomic:Light: 66 at 13:51:45
[SOL] autonomic:Light: 65 at 13:51:56
[SOL] autonomic:Light: 67 at 13:52:7
[SOL] autonomic:Light: 66 at 13:52:19
[SOL] autonomic:Light: 65 at 13:52:30
[SOL] autonomic:Light: 64 at 13:52:42
[SOL] autonomic:Light: 65 at 13:52:53
[SOL] autonomic:Light: 65 at 13:53:4
[SOL] autonomic:Light: 66 at 13:53:16
[SOL] autonomic:Light: 68 at 13:53:27
[SOL] autonomic:Light: 69 at 13:53:38
[SOL] autonomic:Light: 62 at 13:53:50
[SOL] autonomic:Light: 58 at 13:54:1
[SOL] autonomic:Light: 61 at 13:54:12
[SOL] autonomic:Light: 59 at 13:54:24
[SOL] autonomic:Light: 67 at 13:54:35
[SOL] autonomic:Light: 66 at 13:54:46
[SOL] autonomic:Light: 65 at 13:54:58
[SOL] autonomic:Light: 19 at 13:55:9
[SOL] autonomic:Light: 72 at 13:55:21
[SOL] autonomic:autonomic at 13:56:2
[SOL] autonomic:Light: 73 at 13:56:4
[SOL] autonomic:Light: 70 at 13:56:10
[SOL] autonomic:Light: 68 at 13:56:16
[SOL] autonomic:Light: 69 at 13:56:23
[SOL] autonomic:Empieza el proceso: 1329828987695 at 13:56:28
[SOL] autonomic:Light: 68 at 13:56:30
[SOL] autonomic:Light: 68 at 13:56:36
[SOL] autonomic:Light: 68 at 13:56:44
[SOL] autonomic:Light: 69 at 13:56:53
[SOL] autonomic:Light: 67 at 13:57:3
[SOL] autonomic:Light: 70 at 13:57:14
[SOL] autonomic:Light: 69 at 13:57:26
[SOL] autonomic:Light: 69 at 13:57:37
[SOL] autonomic:Light: 75 at 13:57:48
[SOL] autonomic:Light: 80 at 13:58:0
[SOL] autonomic:Light: 83 at 13:58:11
[SOL] autonomic:Light: 84 at 13:58:23
[SOL] autonomic:Light: 85 at 13:58:34
[SOL] autonomic:Light: 85 at 13:58:45
[SOL] autonomic:Light: 84 at 13:58:57
[SOL] autonomic:Light: 86 at 13:59:8
[SOL] autonomic:Light: 86 at 13:59:19
[SOL] autonomic:Light: 85 at 13:59:31
[SOL] autonomic:Light: 86 at 13:59:42
[SOL] autonomic:Light: 86 at 13:59:53
[SOL] autonomic:Light: 86 at 14:0:5
[SOL] autonomic:Light: 85 at 14:0:16
[SOL] autonomic:Light: 85 at 14:0:27
[SOL] autonomic:Light: 84 at 14:0:39
[SOL] autonomic:Light: 84 at 14:0:50
[SOL] autonomic:Light: 85 at 14:1:2
[SOL] autonomic:Light: 84 at 14:1:13
[SOL] autonomic:Light: 84 at 14:1:24
[SOL] autonomic:Light: 85 at 14:1:36
[SOL] autonomic:Light: 84 at 14:1:47
[SOL] autonomic:Light: 84 at 14:1:58
[SOL] autonomic:Light: 83 at 14:2:10
[SOL] autonomic:Light: 82 at 14:2:21
[SOL] autonomic:Light: 76 at 14:2:32
[SOL] autonomic:autonomic at 14:3:2
[SOL] autonomic:Light: 72 at 14:3:4
[SOL] autonomic:Light: 71 at 14:3:10
[SOL] autonomic:Light: 70 at 14:3:17
[SOL] autonomic:Light: 71 at 14:3:23
[SOL] autonomic:Empieza el proceso: 1329829407962 at 14:3:29
[SOL] autonomic:Light: 70 at 14:3:30
[SOL] autonomic:Light: 62 at 14:3:36
[SOL] autonomic:Light: 62 at 14:3:44
[SOL] autonomic:Light: 61 at 14:3:53
[SOL] autonomic:Light: 57 at 14:4:3
[SOL] autonomic:Light: 60 at 14:4:15
[SOL] autonomic:Light: 61 at 14:4:26
[SOL] autonomic:Light: 58 at 14:4:37
[SOL] autonomic:Light: 68 at 14:4:49
[SOL] autonomic:Light: 60 at 14:5:0
[SOL] autonomic:Light: 52 at 14:5:11
[SOL] autonomic:autonomic at 14:6:3
[SOL] autonomic:Light: 69 at 14:6:4
[SOL] autonomic:Light: 74 at 14:6:10
[SOL] autonomic:Light: 66 at 14:6:17
[SOL] autonomic:Light: 67 at 14:6:23
[SOL] autonomic:Empieza el proceso: 1329829588218 at 14:6:29
[SOL] autonomic:Termina el proceso 1329829589436 at 14:6:30
[SOL] autonomic:Light: 57 at 14:6:31
[SOL] autonomic:Termina el proceso 1329829592162 at 14:6:33
[SOL] autonomic:Termina el proceso 1329829594883 at 14:6:36
[SOL] autonomic:Light: 22 at 14:6:38
[SOL] autonomic:Termina el proceso 1329829598446 at 14:6:39
[SOL] autonomic:Termina el proceso 1329829601172 at 14:6:42
[SOL] autonomic:autonomic at 14:7:3
[SOL] autonomic:Light: 59 at 14:7:4
[SOL] autonomic:Light: 55 at 14:7:11
[SOL] autonomic:Light: 56 at 14:7:17
[SOL] autonomic:Light: 50 at 14:7:23
[SOL] autonomic:Empieza el proceso: 1329829648243 at 14:7:29
[SOL] autonomic:Termina el proceso 1329829649463 at 14:7:30
[SOL] autonomic:Light: 51 at 14:7:31
[SOL] autonomic:Termina el proceso 1329829652183 at 14:7:33
[SOL] autonomic:Termina el proceso 1329829654922 at 14:7:36
[SOL] autonomic:Light: 52 at 14:7:38
[SOL] autonomic:Termina el proceso 1329829658452 at 14:7:39
[SOL] autonomic:Termina el proceso 1329829661179 at 14:7:42
[SOL] autonomic:Termina el proceso 1329829663900 at 14:7:45
[SOL] autonomic:Light: 58 at 14:7:46
[SOL] autonomic:Termina el proceso 1329829666625 at 14:7:47
[SOL] autonomic:autonomic at 14:8:3
[SOL] autonomic:Light: 55 at 14:8:4
[SOL] autonomic:Light: 53 at 14:8:11
[SOL] autonomic:Light: 59 at 14:8:17
[SOL] autonomic:Light: 57 at 14:8:23
[SOL] autonomic:Empieza el proceso: 1329829708292 at 14:8:29
[SOL] autonomic:Termina el proceso 1329829709511 at 14:8:30
[SOL] autonomic:Light: 59 at 14:8:31
[SOL] autonomic:Termina el proceso 1329829712236 at 14:8:33
[SOL] autonomic:Termina el proceso 1329829714971 at 14:8:36
[SOL] autonomic:Light: 52 at 14:8:38
[SOL] autonomic:Termina el proceso 1329829718506 at 14:8:39
[SOL] autonomic:Termina el proceso 1329829721229 at 14:8:42
[SOL] autonomic:Termina el proceso 1329829723950 at 14:8:45
[SOL] autonomic:Light: 53 at 14:8:46
[SOL] autonomic:Termina el proceso 1329829726672 at 14:8:47
[SOL] autonomic:Termina el proceso 1329829729393 at 14:8:50
[SOL] autonomic:Termina el proceso 1329829732115 at 14:8:53
[SOL] autonomic:Light: 53 at 14:8:54
[SOL] autonomic:Termina el proceso 1329829734838 at 14:8:56
[SOL] autonomic:autonomic at 14:9:3
[SOL] autonomic:Light: 55 at 14:9:4
[SOL] autonomic:Light: 53 at 14:9:11
[SOL] autonomic:Light: 51 at 14:9:17
[SOL] autonomic:Light: 47 at 14:9:23
[SOL] autonomic:Empieza el proceso: 1329829768313 at 14:9:29
[SOL] autonomic:Termina el proceso 1329829769532 at 14:9:30
[SOL] autonomic:Light: 54 at 14:9:31
[SOL] autonomic:Termina el proceso 1329829772258 at 14:9:33
[SOL] autonomic:Termina el proceso 1329829774994 at 14:9:36
[SOL] autonomic:Light: 61 at 14:9:38
[SOL] autonomic:Termina el proceso 1329829778525 at 14:9:39
[SOL] autonomic:Termina el proceso 1329829781248 at 14:9:42
[SOL] autonomic:Termina el proceso 1329829783970 at 14:9:45
[SOL] autonomic:Light: 60 at 14:9:46
[SOL] autonomic:Termina el proceso 1329829786692 at 14:9:47
[SOL] autonomic:Termina el proceso 1329829789415 at 14:9:50
[SOL] autonomic:Termina el proceso 1329829792137 at 14:9:53
[SOL] autonomic:Light: 59 at 14:9:54
[SOL] autonomic:Termina el proceso 1329829794858 at 14:9:56
[SOL] autonomic:Termina el proceso 1329829797581 at 14:9:58
[SOL] autonomic:Termina el proceso 1329829800308 at 14:10:1
[SOL] autonomic:Light: 63 at 14:10:3
[SOL] autonomic:Termina el proceso 1329829803136 at 14:10:4
[SOL] autonomic:Termina el proceso 1329829805862 at 14:10:7
[SOL] autonomic:Termina el proceso 1329829808585 at 14:10:9
[SOL] autonomic:Termina el proceso 1329829811308 at 14:10:12
[SOL] autonomic:Light: 41 at 14:10:13
[SOL] autonomic:Termina el proceso 1329829814042 at 14:10:15
[SOL] autonomic:Termina el proceso 1329829816764 at 14:10:17
[SOL] autonomic:Termina el proceso 1329829819487 at 14:10:20
[SOL] autonomic:Termina el proceso 1329829822208 at 14:10:23
[SOL] autonomic:Light: 60 at 14:10:24
[SOL] autonomic:Light: 61 at 14:10:35
[SOL] autonomic:Light: 64 at 14:10:47
[SOL] autonomic:autonomic at 14:11:33
[SOL] autonomic:Light: 59 at 14:11:34
[SOL] autonomic:Light: 57 at 14:11:41
[SOL] autonomic:Light: 56 at 14:11:47
[SOL] autonomic:Light: 57 at 14:11:53
[SOL] autonomic:Empieza el proceso: 1329829918391 at 14:11:59
[SOL] autonomic:Termina el proceso 1329829919615 at 14:12:0
[SOL] autonomic:Light: 58 at 14:12:1
[SOL] autonomic:Termina el proceso 1329829922337 at 14:12:3
[SOL] autonomic:Termina el proceso 1329829925071 at 14:12:6
[SOL] autonomic:Light: 56 at 14:12:8
[SOL] autonomic:Termina el proceso 1329829928616 at 14:12:9
[SOL] autonomic:Termina el proceso 1329829931338 at 14:12:12
[SOL] autonomic:Termina el proceso 1329829934060 at 14:12:15
[SOL] autonomic:Light: 56 at 14:12:16
[SOL] autonomic:Termina el proceso 1329829936781 at 14:12:17
[SOL] autonomic:autonomic at 14:12:33
[SOL] autonomic:Light: 55 at 14:12:35
[SOL] autonomic:Light: 53 at 14:12:41
[SOL] autonomic:Light: 60 at 14:12:47
[SOL] autonomic:Light: 58 at 14:12:54
[SOL] autonomic:Empieza el proceso: 1329829978585 at 14:12:59
[SOL] autonomic:Termina el proceso 1329829979803 at 14:13:0
[SOL] autonomic:autonomic at 14:13:33
[SOL] autonomic:Light: 62 at 14:13:34
[SOL] autonomic:Light: 61 at 14:13:41
[SOL] autonomic:Light: 60 at 14:13:47
[SOL] autonomic:Light: 60 at 14:13:54
[SOL] autonomic:Empieza el proceso: 1329830038556 at 14:13:59
[SOL] autonomic:Termina el proceso 1329830039778 at 14:14:0
[SOL] autonomic:Light: 59 at 14:14:2
[SOL] autonomic:autonomic at 14:14:33
[SOL] autonomic:Light: 60 at 14:14:34
[SOL] autonomic:Light: 59 at 14:14:41
[SOL] autonomic:Light: 60 at 14:14:47
[SOL] autonomic:Light: 61 at 14:14:53
[SOL] autonomic:Empieza el proceso: 1329830098484 at 14:14:59
[SOL] autonomic:Termina el proceso 1329830099702 at 14:15:0
[SOL] autonomic:Light: 61 at 14:15:2
[SOL] autonomic:Termina el proceso 1329830102423 at 14:15:3
[SOL] autonomic:autonomic at 14:15:33
[SOL] autonomic:Light: 53 at 14:15:34
[SOL] autonomic:Light: 59 at 14:15:41
[SOL] autonomic:Light: 59 at 14:15:47
[SOL] autonomic:Light: 59 at 14:15:53
[SOL] autonomic:Empieza el proceso: 1329830158478 at 14:15:59
[SOL] autonomic:Termina el proceso 1329830159696 at 14:16:0
[SOL] autonomic:Light: 58 at 14:16:2
[SOL] autonomic:Termina el proceso 1329830162417 at 14:16:3
[SOL] autonomic:Termina el proceso 1329830165138 at 14:16:6
[SOL] autonomic:autonomic at 14:16:33
[SOL] autonomic:Light: 55 at 14:16:35
[SOL] autonomic:Light: 57 at 14:16:41
[SOL] autonomic:Light: 54 at 14:16:47
[SOL] autonomic:Light: 56 at 14:16:54
[SOL] autonomic:Empieza el proceso: 1329830218632 at 14:16:59
[SOL] autonomic:Termina el proceso 1329830219851 at 14:17:1
[SOL] autonomic:Light: 56 at 14:17:2
[SOL] autonomic:Termina el proceso 1329830222572 at 14:17:3
[SOL] autonomic:Termina el proceso 1329830225298 at 14:17:6
[SOL] autonomic:Light: 60 at 14:17:8
[SOL] autonomic:Termina el proceso 1329830228851 at 14:17:10
[SOL] autonomic:Termina el proceso 1329830231574 at 14:17:12
[SOL] autonomic:autonomic at 14:17:33
[SOL] autonomic:Light: 59 at 14:17:34
[SOL] autonomic:Light: 59 at 14:17:41
[SOL] autonomic:Light: 63 at 14:17:47
[SOL] autonomic:Light: 59 at 14:17:54
[SOL] autonomic:Empieza el proceso: 1329830278556 at 14:17:59
[SOL] autonomic:Termina el proceso 1329830279775 at 14:18:0
[SOL] autonomic:Light: 55 at 14:18:2
[SOL] autonomic:autonomic at 14:18:33
[SOL] autonomic:Light: 50 at 14:18:35
[SOL] autonomic:Light: 49 at 14:18:41
[SOL] autonomic:Light: 50 at 14:18:47
[SOL] autonomic:Light: 48 at 14:18:54
[SOL] autonomic:Empieza el proceso: 1329830338696 at 14:18:59
[SOL] autonomic:Termina el proceso 1329830339916 at 14:19:1
[SOL] autonomic:Light: 50 at 14:19:2
[SOL] autonomic:Termina el proceso 1329830342638 at 14:19:3
[SOL] autonomic:Termina el proceso 1329830345360 at 14:19:6
[SOL] autonomic:autonomic at 14:19:33
[SOL] autonomic:Light: 51 at 14:19:35
[SOL] autonomic:Light: 52 at 14:19:41
[SOL] autonomic:Light: 53 at 14:19:48
[SOL] autonomic:Light: 57 at 14:19:54
[SOL] autonomic:Empieza el proceso: 1329830398845 at 14:20:0
[SOL] autonomic:Termina el proceso 1329830400065 at 14:20:1
[SOL] autonomic:Light: 62 at 14:20:2
[SOL] autonomic:Termina el proceso 1329830402787 at 14:20:4
[SOL] autonomic:Termina el proceso 1329830405510 at 14:20:6
[SOL] autonomic:autonomic at 14:20:33
[SOL] autonomic:Light: 65 at 14:20:35
[SOL] autonomic:Light: 68 at 14:20:41
[SOL] autonomic:Light: 68 at 14:20:47
[SOL] autonomic:Light: 67 at 14:20:54
[SOL] autonomic:Empieza el proceso: 1329830458766 at 14:20:59
[SOL] autonomic:Termina el proceso 1329830459985 at 14:21:1
[SOL] autonomic:Light: 66 at 14:21:2
[SOL] autonomic:Termina el proceso 1329830462714 at 14:21:3
[SOL] autonomic:autonomic at 14:21:33
[SOL] autonomic:autonomic at 18:49:29
[SOL] autonomic:Light: 27 at 18:49:31
[SOL] autonomic:Light: 30 at 18:49:37
[SOL] autonomic:Light: 26 at 18:49:44
[SOL] autonomic:Light: 26 at 18:49:50
[SOL] autonomic:Empieza el proceso: 1329846596412 at 18:49:56
[SOL] autonomic:Termina el proceso 1329846597632 at 18:49:57
[SOL] autonomic:Light: 27 at 18:49:58
[SOL] autonomic:Termina el proceso 1329846600356 at 18:50:0
[SOL] autonomic:autonomic at 18:50:29
[SOL] autonomic:Light: 26 at 18:50:31
[SOL] autonomic:Light: 29 at 18:50:37
[SOL] autonomic:Light: 29 at 18:50:44
[SOL] autonomic:Light: 31 at 18:50:50
[SOL] autonomic:Empieza el proceso: 1329846656471 at 18:50:56
[SOL] autonomic:Termina el proceso 1329846657690 at 18:50:57
[SOL] autonomic:Light: 28 at 18:50:58
[SOL] autonomic:autonomic at 18:51:29
[SOL] autonomic:Light: 28 at 18:51:31
[SOL] autonomic:Light: 29 at 18:51:37
[SOL] autonomic:Light: 31 at 18:51:44
[SOL] autonomic:Light: 31 at 18:51:50
[SOL] autonomic:Empieza el proceso: 1329846716483 at 18:51:56
[SOL] autonomic:Termina el proceso 1329846717703 at 18:51:57
[SOL] autonomic:Light: 30 at 18:51:58
[SOL] autonomic:autonomic at 18:52:29
[SOL] autonomic:Light: 30 at 18:52:31
[SOL] autonomic:Light: 31 at 18:52:37
[SOL] autonomic:Light: 30 at 18:52:44
[SOL] autonomic:Light: 28 at 18:52:50
[SOL] autonomic:Empieza el proceso: 1329846776510 at 18:52:56
[SOL] autonomic:Termina el proceso 1329846777728 at 18:52:57
[SOL] autonomic:Light: 29 at 18:52:58
[SOL] autonomic:autonomic at 18:53:29
[SOL] autonomic:Light: 28 at 18:53:31
[SOL] autonomic:Light: 29 at 18:53:37
[SOL] autonomic:Light: 16 at 18:53:44
[SOL] autonomic:Light: 16 at 18:53:50
